Account,total_pnl,avg_daily_pnl,pnl_volatility,active_days,avg_win_rate,total_trades,avg_daily_trades,avg_trade_size,avg_ls_ratio,frequency_segment,size_segment,consistency_cv,consistency_segment
0x4f93fead39b70a1824f981a54d4e55b278e9f760,38868.839491,400.7096854742268,11512.064369266072,97,0.2830318417068626,1785,18.4020618556701,16799.2863961744,3.1064830071126748,Infrequent,Large Positions,28.657671909692287,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,60544.304874,12108.8609748,27076.23626974717,5,0.14346504559270518,522,104.4,8759.283731447826,0.3940677966101695,Frequent,Large Positions,2.2358833289739186,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2118.454577,302.6363681428571,221.0274161235585,7,0.4214885954381753,145,20.714285714285715,983.0814948979593,3.614912280701754,Infrequent,Small Positions,0.727934593195924,Consistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,0.0,0.0,,1,0.0,141,141.0,11569.857730496453,0.0,Frequent,Large Positions,,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,197294.93561,17935.903237272727,50481.369158837704,11,0.19288856304985336,283,25.727272727272727,4196.28185022225,0.3125,Infrequent,Small Positions,2.814385989100831,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,142583.699257,4455.74060178125,6211.428149970432,32,0.6934013697783242,2312,72.25,4030.722278170088,1.7003171284197447,Frequent,Small Positions,1.3937154312925182,Consistent
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,3039.365339,759.84133475,510.52180137688174,4,0.5523504273504274,45,11.25,4529.572184065934,0.4431372549019608,Infrequent,Large Positions,0.6709964062936077,Consistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,38304.27852,2946.482963076923,4371.524465796815,13,0.3573262145094724,439,33.76923076923077,2077.2741589057123,0.9881527490223142,Infrequent,Small Positions,1.4831381624792541,Consistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11022.64051,688.915031875,2307.2486357270923,16,0.06602968419195483,501,31.3125,4485.422850206685,1.183031599736669,Infrequent,Large Positions,3.344250420891139,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,-2648.4247579999987,-67.9083271282051,3689.118691118268,39,0.3124998779060554,2819,72.28205128205128,1056.930371097666,1.8423358658973017,Frequent,Small Positions,53.53661661608184,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,12245.905048999999,12245.905048999999,,1,0.4437869822485207,169,169.0,2370.67449704142,1.2533333333333334,Frequent,Small Positions,,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,3650.6762020000006,405.63068911111117,2878.7319817404273,9,0.2941096461786057,1697,188.55555555555554,2220.9049088836578,2.9261184759653953,Frequent,Small Positions,7.079475452365128,Inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,27717.904637,1732.3690398125,9580.141778550678,16,0.33178386540120797,261,16.3125,3441.290239638449,0.5224064625850341,Infrequent,Small Positions,5.5268910188836475,Inconsistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222,5231.3783055,10462.756611,4,0.1810344827586207,211,52.75,3236.598247611584,0.19047619047619047,Infrequent,Small Positions,1.9996177646410052,Consistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2075.01524,518.75381,1000.9648733779911,4,0.53125,14,3.5,13106.715,2.3333333333333335,Infrequent,Large Positions,1.9258442249379395,Consistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1478494.69111,16994.19185183908,64710.95422837255,87,0.2853022356292465,5220,60.0,4850.622795051871,1.62567244005665,Frequent,Large Positions,3.80760363239854,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,40270.812285,8054.162457,15064.633036634661,5,0.3470430107526882,340,68.0,20934.5970327957,0.9948956294846706,Frequent,Large Positions,1.8701836390082207,Consistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,201353.921589,40270.784317800004,82736.4691466912,5,0.6374499103924609,2562,512.4,3461.957403041203,0.3350604251869865,Frequent,Small Positions,2.0544525291898212,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,45099.96815900001,3221.4262970714294,57998.731673678936,14,0.21095444447371423,794,56.714285714285715,11563.59297552686,0.5851730418943534,Frequent,Large Positions,17.99846647428018,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,205652.297237,10823.805117736842,30331.849397651076,19,0.5075302187745421,5715,300.7894736842105,1925.0075408949767,1.9376444944748008,Frequent,Small Positions,2.8020688656972887,Inconsistent
